RED 100 100 0.1 0.1 2 32000 20 10 50 	0 11 3.52 2.41 	0 8 1.1 1.72 	0 7 0.42 1.28 	0 200 59.8 42.43 	0 7 0.42 1.28 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 14 3.67 3.18 	0 12 1.31 2.25 	0 12 0.44 1.56 	0 270 63.37 54.23 	0 12 0.44 1.56 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 18 4.05 3.39 	0 16 1.35 2.83 	0 16 0.69 2.54 	0 390 69.7 68.25 	0 16 0.69 2.54 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 19 4.26 3.92 	0 15 1.87 3.33 	0 15 0.57 2.14 	0 340 76.34 74.7 	0 15 0.57 2.14 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 15 3.47 2.71 	0 10 0.95 2.08 	0 10 0.44 1.66 	0 260 57.62 52.15 	0 10 0.44 1.66 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 19 4.81 3.95 	0 15 2.21 3.55 	0 16 0.85 2.44 	0 340 87.92 78.72 	0 16 0.85 2.44 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 12 3.88 2.78 	0 16 1.58 2.42 	0 16 0.68 2.26 	0 390 70.79 57.0 	0 16 0.68 2.26 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 13 4.05 2.9 	0 11 1.7 2.35 	0 12 0.53 1.86 	0 260 72.67 54.1 	0 12 0.53 1.86 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 11 3.21 2.39 	0 10 1.08 1.97 	0 12 0.65 2.07 	0 270 58.42 50.52 	0 12 0.65 2.07 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 24 4.46 3.88 	0 22 1.83 3.52 	0 20 0.48 2.17 	0 490 77.03 77.81 	0 20 0.48 2.17 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 16 3.39 3.05 	0 12 0.96 2.28 	0 12 0.34 1.54 	0 290 56.44 54.76 	0 12 0.34 1.54 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 23 3.93 3.95 	0 18 2.04 3.36 	0 18 0.77 2.36 	0 420 76.24 76.96 	0 18 0.77 2.36 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 22 5.04 4.63 	0 25 2.36 4.04 	0 27 0.73 3.04 	0 600 90.59 93.32 	0 27 0.73 3.04 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 8 2.87 1.97 	0 4 0.53 0.99 	0 4 0.32 0.88 	0 130 46.24 28.1 	0 4 0.32 0.88 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 12 3.43 2.24 	0 7 0.9 1.54 	0 8 0.46 1.4 	0 200 57.43 39.94 	0 8 0.46 1.4 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 10 3.78 2.77 	0 11 1.48 2.14 	0 12 0.57 1.79 	0 300 67.62 52.58 	0 12 0.57 1.79 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 16 4.77 3.7 	0 10 2.17 3.17 	0 10 0.55 1.97 	0 270 84.36 69.25 	0 10 0.55 1.97 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 21 4.48 4.36 	0 18 1.86 3.76 	0 18 0.61 2.58 	0 400 78.81 85.4 	0 18 0.61 2.58 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 18 3.88 3.35 	0 14 1.21 2.44 	0 14 0.67 2.17 	0 330 66.53 61.01 	0 14 0.67 2.17 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 21 4.15 3.37 	0 14 1.21 2.37 	0 14 0.55 2.03 	0 330 68.71 59.73 	0 14 0.55 2.03 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 24 4.94 4.97 	0 23 2.48 4.67 	0 21 0.77 3.04 	0 500 91.09 101.72 	0 21 0.77 3.04 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 16 3.7 3.07 	0 14 1.37 2.53 	0 14 0.63 2.18 	0 330 66.63 59.84 	0 14 0.63 2.18 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 23 4.7 4.53 	0 20 2.08 4.06 	0 20 0.65 2.55 	0 440 83.66 89.37 	0 20 0.65 2.55 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 17 4.54 3.8 	0 16 1.73 2.92 	0 10 0.6 1.84 	0 380 77.82 71.58 	0 10 0.6 1.84 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 18 4.19 3.45 	0 15 1.69 2.96 	0 16 0.65 2.28 	0 380 74.95 68.89 	0 16 0.65 2.28 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 17 4.14 3.2 	0 13 1.42 2.48 	0 14 0.67 2.15 	0 320 71.68 57.83 	0 14 0.67 2.15 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 19 4.08 3.59 	0 15 1.62 3.06 	0 15 0.67 2.43 	0 340 73.17 71.56 	0 15 0.67 2.43 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 12 3.5 2.8 	0 13 0.96 1.9 	0 12 0.46 1.58 	0 330 58.32 50.7 	0 12 0.46 1.58 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 18 4.36 3.66 	0 14 1.61 2.85 	0 14 0.61 2.18 	0 310 75.05 66.97 	0 14 0.61 2.18 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 26 5.2 4.86 	0 20 2.42 4.61 	0 20 0.79 3.19 	0 460 93.66 99.17 	0 20 0.79 3.19 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 32 5.1 5.36 	0 32 2.41 5.38 	0 32 0.77 3.56 	0 670 92.48 114.07 	0 32 0.77 3.56 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 11 3.43 2.97 	0 8 1.28 2.38 	0 10 0.53 1.82 	0 240 61.68 56.57 	0 10 0.53 1.82 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 18 4.01 3.55 	0 14 1.38 2.85 	0 14 0.44 2.04 	0 320 67.43 67.35 	0 14 0.44 2.04 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 11 4.2 2.88 	0 11 1.32 2.1 	0 12 0.42 1.65 	0 280 68.71 50.34 	0 12 0.42 1.65 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 26 3.63 4.01 	0 26 1.31 3.72 	0 26 0.61 2.84 	0 550 64.65 83.72 	0 26 0.61 2.84 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 20 4.14 3.55 	0 20 1.31 2.94 	0 20 0.57 2.34 	0 440 69.41 68.88 	0 20 0.57 2.34 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 15 3.74 2.9 	0 11 0.89 1.93 	0 12 0.5 1.77 	0 280 60.89 51.76 	0 12 0.5 1.77 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 37 5.8 7.45 	0 32 2.97 6.91 	0 32 0.59 3.37 	0 680 102.77 148.05 	0 32 0.59 3.37 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 17 4.02 3.26 	0 12 1.45 2.58 	0 12 0.48 1.57 	0 300 68.91 61.01 	0 12 0.48 1.57 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 12 3.83 2.61 	0 14 1.24 1.98 	0 14 0.59 1.85 	0 320 66.14 47.11 	0 14 0.59 1.85 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 13 2.93 2.5 	0 8 0.81 1.9 	0 8 0.36 1.42 	0 210 50.1 46.28 	0 8 0.36 1.42 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 21 3.84 3.4 	0 22 1.35 2.94 	0 24 0.51 2.59 	0 510 66.24 69.86 	0 24 0.51 2.59 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 16 4.3 3.54 	0 12 1.51 2.52 	0 12 0.57 1.98 	0 300 73.27 61.03 	0 12 0.57 1.98 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 12 3.43 2.53 	0 6 0.94 1.58 	0 6 0.42 1.2 	0 190 57.23 40.79 	0 6 0.42 1.2 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 42 6.18 7.84 	0 36 3.62 7.59 	0 36 0.79 3.79 	0 790 115.05 158.38 	0 36 0.79 3.79 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 18 4.77 4.12 	0 16 2.02 3.35 	0 16 0.63 2.3 	0 350 83.47 76.05 	0 16 0.63 2.3 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 18 4.22 4.13 	0 14 1.7 3.41 	0 14 0.51 2.12 	0 320 73.17 77.07 	0 14 0.51 2.12 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 35 5.69 6.74 	0 33 3.09 6.51 	0 34 0.73 3.6 	0 710 104.26 137.86 	0 34 0.73 3.6 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 13 3.52 2.67 	0 8 0.87 1.51 	0 8 0.4 1.29 	0 210 57.23 41.65 	0 8 0.4 1.29 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 11 3.54 2.72 	0 8 1.02 1.94 	0 8 0.53 1.78 	0 210 59.6 49.33 	0 8 0.53 1.78 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 16 4.27 3.67 	0 13 1.94 3.21 	0 12 0.53 1.76 	0 320 76.93 71.68 	0 12 0.53 1.76 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 17 4.17 3.36 	0 17 1.82 3.19 	0 18 0.73 2.65 	0 390 76.63 71.52 	0 18 0.73 2.65 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 15 3.49 2.74 	0 11 1.06 1.98 	0 12 0.5 1.77 	0 280 59.5 50.39 	0 12 0.5 1.77 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 9 2.83 2.12 	0 6 0.54 1.04 	0 6 0.32 0.92 	0 170 45.74 33.46 	0 6 0.32 0.92 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 14 4.25 3.0 	0 10 1.36 1.96 	0 10 0.69 1.78 	0 270 72.48 50.63 	0 10 0.69 1.78 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 18 4.5 3.71 	0 16 1.54 3.07 	0 16 0.57 2.1 	0 370 75.45 70.73 	0 16 0.57 2.1 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 22 4.44 4.4 	0 18 1.8 3.99 	0 18 0.51 2.25 	0 410 77.13 84.74 	0 18 0.51 2.25 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 20 3.82 3.94 	0 16 1.31 3.02 	0 16 0.48 2.11 	0 340 64.85 72.02 	0 16 0.48 2.11 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 17 3.96 3.54 	0 14 1.71 3.03 	0 14 0.53 1.98 	0 330 71.09 68.94 	0 14 0.53 1.98 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 11 3.72 2.61 	0 11 0.93 1.62 	0 12 0.5 1.63 	0 270 61.19 43.26 	0 12 0.5 1.63 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 9 3.19 2.14 	0 4 0.53 1.05 	0 4 0.28 0.85 	0 140 49.5 31.0 	0 4 0.28 0.85 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 12 3.17 2.66 	0 8 0.7 1.49 	0 8 0.4 1.35 	0 230 51.58 45.55 	0 8 0.4 1.35 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 20 4.38 4.06 	0 24 1.72 3.75 	0 24 0.57 2.89 	0 530 76.04 84.77 	0 24 0.57 2.89 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 17 4.09 3.54 	0 12 1.58 2.72 	0 12 0.61 2.02 	0 290 71.88 63.79 	0 12 0.61 2.02 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 15 4.16 3.41 	0 14 1.27 2.62 	0 14 0.44 1.82 	0 320 67.82 60.67 	0 14 0.44 1.82 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 11 3.19 2.3 	0 9 0.81 1.59 	0 10 0.5 1.53 	0 240 54.65 41.95 	0 10 0.5 1.53 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 21 4.29 3.5 	0 18 1.58 3.09 	0 18 0.57 2.21 	0 400 73.96 68.54 	0 18 0.57 2.21 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 19 3.92 3.45 	0 17 1.46 2.85 	0 18 0.55 2.16 	0 390 68.51 66.01 	0 18 0.55 2.16 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 20 4.0 3.68 	0 16 1.52 3.28 	0 16 0.53 2.18 	0 370 70.1 72.5 	0 16 0.53 2.18 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 28 4.72 4.54 	0 23 1.92 4.22 	0 24 0.65 2.92 	0 510 82.48 91.95 	0 24 0.65 2.92 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 15 4.12 3.06 	0 12 1.39 2.36 	0 12 0.48 1.64 	0 280 69.21 54.77 	0 12 0.48 1.64 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 14 3.39 2.53 	0 9 0.88 1.5 	0 6 0.44 1.15 	0 240 56.34 39.94 	0 6 0.44 1.15 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 11 2.83 1.95 	0 10 0.78 1.57 	0 10 0.5 1.6 	0 240 50.59 40.34 	0 10 0.5 1.6 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 20 4.95 4.85 	0 21 2.53 4.74 	0 22 0.51 2.4 	0 460 89.31 98.93 	0 22 0.51 2.4 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 19 3.54 2.87 	0 12 1.14 1.87 	0 12 0.55 1.64 	0 300 61.58 47.26 	0 12 0.55 1.64 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 13 4.1 2.73 	0 13 1.54 2.17 	0 15 0.57 1.93 	0 320 71.78 50.65 	0 15 0.57 1.93 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 19 3.66 3.4 	0 15 1.38 3.03 	0 14 0.53 2.17 	0 360 64.85 70.37 	0 14 0.53 2.17 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 21 4.47 3.65 	0 26 1.53 3.3 	0 27 0.58 2.87 	0 600 75.35 77.16 	0 27 0.58 2.87 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 20 4.0 3.8 	0 16 1.3 2.67 	0 16 0.61 2.3 	0 360 68.22 67.17 	0 16 0.61 2.3 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 16 4.84 3.77 	0 14 2.27 3.23 	0 14 0.67 2.23 	0 330 87.33 72.18 	0 14 0.67 2.23 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 13 4.32 2.96 	0 19 1.37 2.68 	0 18 0.57 2.22 	0 460 72.28 62.55 	0 18 0.57 2.22 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 16 3.79 2.99 	0 13 1.21 2.23 	0 12 0.52 1.68 	0 300 64.26 54.63 	0 12 0.52 1.68 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 14 3.58 2.83 	0 10 1.11 1.95 	0 10 0.48 1.6 	0 250 61.39 47.49 	0 10 0.48 1.6 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 24 4.55 4.3 	0 26 1.78 4.11 	0 25 0.53 2.74 	0 570 78.12 90.67 	0 25 0.53 2.74 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 14 3.45 2.54 	0 8 0.9 1.74 	0 8 0.42 1.3 	0 220 57.23 42.43 	0 8 0.42 1.3 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 43 7.06 8.39 	0 38 4.35 8.23 	0 29 0.89 3.85 	0 820 132.38 171.15 	0 29 0.89 3.85 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 19 3.84 3.43 	0 13 1.44 2.76 	0 12 0.59 1.98 	0 330 68.02 64.76 	0 12 0.59 1.98 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 17 3.89 3.12 	0 14 1.09 2.31 	0 14 0.44 1.7 	0 320 63.96 54.63 	0 14 0.44 1.7 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 12 3.89 2.81 	0 11 0.88 1.94 	0 12 0.55 1.98 	0 280 62.77 51.8 	0 12 0.55 1.98 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 13 4.22 3.13 	0 10 1.7 2.56 	0 12 0.53 2.1 	0 260 73.86 60.77 	0 12 0.53 2.1 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 17 3.7 3.19 	0 15 1.43 2.65 	0 16 0.67 2.36 	0 330 67.52 61.75 	0 16 0.67 2.36 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 18 4.46 4.14 	0 14 1.84 3.59 	0 14 0.55 2.2 	0 330 77.82 78.23 	0 14 0.55 2.2 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 16 3.68 2.89 	0 12 1.22 2.35 	0 12 0.53 1.89 	0 290 63.86 56.22 	0 12 0.53 1.89 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 17 4.18 3.19 	0 16 1.21 2.11 	0 16 0.46 1.89 	0 370 67.62 54.96 	0 16 0.46 1.89 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 12 3.25 2.46 	0 10 0.94 1.59 	0 10 0.4 1.35 	0 230 55.15 41.14 	0 10 0.4 1.35 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 21 4.16 3.53 	0 18 1.41 3.07 	0 18 0.5 2.15 	0 380 70.0 67.85 	0 18 0.5 2.15 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 11 3.8 2.3 	0 7 0.91 1.49 	0 8 0.42 1.37 	0 190 60.69 36.89 	0 8 0.42 1.37 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 22 5.49 4.94 	0 17 2.03 3.72 	0 14 0.59 2.36 	0 390 90.5 87.56 	0 14 0.59 2.36 	0
RED 100 100 0.1 0.1 2 32000 20 10 50 	0 27 6.06 5.42 	0 30 2.74 5.28 	0 32 0.77 3.82 	0 730 104.95 120.26 	0 32 0.77 3.82 	0
